,,Station Code Index,,,,,
Station Name,Code,Station Name,Code,Station Name,Code,Station Name,Code
ABU ROAD,ABR,BAKTHIYARPUR,BKP,BETUL,BZU,CANACONA,CNO
ADILABAD,ADB,BALASORE,BLS,BHADOHI,BOY,CHAKIA,CAA
ADONI,AD,BALAGHAT,BTC,BHADRAK,BHC,CHAKRADHARPUR,CKP
ADRA,ADRA,BALANGIR,BLGR,BHAGALPUR,BGP,CHARLAPALLI,CHZ
AGARTALA,AGTL,BALUGAON,BALU,BHAGAT KI KOTHI,BGKT,CHALISGAON,CSN
AGRA FORT,AF,BALURGHAT,BLGT,BHANJPUR,VZR,CHAMARAJANAGAR,CMNR
AGRA CANTT.,AGC,BALHARSHAH,BPQ,BHARATPUR,BTE,CHAMPA,CPH
AHILYANAGAR,ANG,BALLARI JN.,BAY,BHARUCH,BH,CHANDAUSI,CH
AHMEDABAD,ADI,BALLIA,BUI,BHATAPARA,BYT,CHANDERIYA,CNA
AJMER,ALL,BANARAS,BNRS,BHATKAL,BTJL,CHANDIGARH,CDG
AJNI,AJNI,BANARHAT,BNQ,BHATNI,BTT,CHANDIL,CNI
AKOLA,AK,BANDA JN.,BNDA,BHAVNAGAR (T),BVC,CHANDRAPUR,CD
ALIGARH,ALJN,BANDEL JN.,BDC,BHAWANIPATNA,BWPI,CHANDRAPURA,CRP
ALIPURDUAR JN.,APDJ,BANDIKUI JN.,BKI,BHILDI,BLDI,CHANDLODIYA,CLDY
ALAPPUZHA,ALLP,BANDRA (T),BDTS,BHILWARA,BHL,CHAPARMUKH,CPK
ALNAWAR JN.,LWR,BANGARAPET,BWT,BHIMAVARAM JN.,BVRM,CHHATRAPATI SHIVAJI,CSMT
ALUVA,AWY,BANGRIPOSI,BGY,BHIMAVARAM TOWN,BVRT,MAHARAJ (T),
ALWAR,AWR,BANKA,BAKA,BHIND,BIX,CHHATRAPATI SAMBHAJI NAGAR,CPSN
AMALNER,AN,BANKURA,BOA,BHIWANI,BNW,CHATRAPUR,CAP
AMB ANDAURA,AADR,BANMANKHI,BNKI,BHIWANI CITY,BNWC,CHHEHARTA,CIA
AMBALA CANTT.,UMB,BANASWADI,BAND,BHOPAL,BPL,CHHATARPUR,MCSC
AMBIKAPUR,ABKP,BAPATLA,BPP,BHUBANESWAR,BBS,CHHAYAPURI,CYI
AMLA,AMLA,BARABANKI JN.,BBK,BHUBANESWAR NEW,BBSN,CHENGALPATTU JN.,CGL
AMRITSAR,ASR,BRAHAMPUR,BAM,BHUJ,BHUJ,CHENGANNUR,CNGR
ANAKAPALLE,AKP,BARBIL,BBN,BHUSAVAL,BSL,MGR CHENNAI CENTRAL,MAS
ANAND,ANND,BARAN,BAZ,BIDAR,BIDR,CHENNAI EGMORE,MS
ANAND NAGAR,ANDN,BARAUNI JN.,BJU,BIJNOR,BJO,CHHAPRA,CPR
ANAND VIHAR (T),ANVT,BARAUT,BTU,BIKANER,BKN,CHHINDWARA,CWA
ANANTAPUR,ATP,BARAPALLI,BRPL,BILASPUR JN.,BSP,CHIDAMBARAM,COM
ANGUL,ANGL,BARDDHAMAN JN.,BWN,BINA,BINA,CHIKJAJUR,JRU
ANNAVARAM,ANV,BAREILLY,BE,BINNAGURI,BNV,CHIKKAMAGALURU,CMGR
ANUPPUR,APR,BARGARH ROAD,BRGA,BIRUR,RRB,CHIPLUN,CHI
ARA,ARA,BARHNI,BNY,BITRAGUNTA,BTTR,CHIRALA,CLX
ARAKKONAM,AJJ,BARKAKANA,BRKA,BIYAVARA RAJGARH,BRRG,CHIRIMIRI,CHRM
ARSIKERE,ASK,BARMER,BME,BOBBILI,VBL,CHITRADURGA,CTA
ASHOKAPURAM,AP,BAROG,BOF,BOINDA,BONA,CHITRAKOOTDHAM KARVI,CKTD
ASANSOL,ASN,BARSOI,BOE,BOUDH,BOUH,CHITTARANJAN,CRJ
ATARI,ATT,BARWADIH,BRWD,BARAPALLI,BRPL,CHITTAURGARH,COR
AUNRIHAR,ARJ,BASAR,BSX,BAGHBAHAR,BGBR,CHITTOOR,CTO
AYODHYA DHAM,AY,BASTI,BST,BHANDARKUND,BDKD,CHOPAN,CPU
AYODHYA CANTT,AYC,BATHINDA JN.,BTI,BOKARO STEEL CITY,BKSC,CHOTA UDAIPUR,CTD
AZAMGARH,AMH,BAYANA,BXN,BOLPUR SHANTINIKETAN,BMP,CHUNAR,CAR
AZIMGANJ JN.,AZ,BEAS,BEAS,BORIVALI,BVI,CHURU,CUR
BADAMPAHAR,BMPR,BEAWAR,BER,BOTAD,BTD,COIMBATORE JN.,CBE
BADARPUR,BPB,BELAGAVI,BGM,BUDAUN,BEM,COONOOR,ONR
BADNERA JN.,BD,BELAPUR,BAP,BUNDI,BUDI,CUDDALORE PORT,CUPJ
BAGALKOT,BGK,KSR BENGALURU,SBC,BURHANPUR,BAU,CUDDAPAH,HX
BAGHPAT ROAD,BPM,BENGALURU CANTT.,BNC,BURHWAL,BUW,CUTTACK,CTC
BAIDYANATHDHAM DEOGHAR,BDME,BETTIAH,BTH,BUXAR,BXR,DADAR,DR
BAPUDHAM MOTIHARI,BMKI,,,,,,TAG-26
,,,,5,,,
,Station Name,Code,Station Name,Code,Station Name,Code,Station Name,Code
,DAHANU ROAD,DRD ,DURG,DURG ,GWALIOR,GWL ,JALPAIGURI,JPG 
,DAHOD,DHD ,DURGAPUR,DGR ,GYANPUR ROAD,GYN ,JAMALPUR,JMP 
,DALGAON,DLO ,DUWADA,DVD ,HADAPSAR,HDP,JAMMU TAWI,JAT 
,DALTONGANJ,DTO ,DWARKA,DWK ,HAJIPUR,HJP ,JAMNAGAR,JAM 
,DALLIRAJHARA,DRZ ,ELURU,EE ,HALDIA,HLZ ,JANGHAI,JNH 
,DAMOH,DM0 ,ERNAKULAM JN.,ERS ,HALDIBARI,HDB ,JASIDIH,JSME 
,DANAPUR,DNR ,ERNAKULAM TOWN,ERN ,HAMILTONGANJ,HOJ ,JAUNPUR JN.,JNU 
,DARBHANGA,DBG ,ERODE,ED ,HANUMANGARH,HMH ,JAYNAGAR,JYG 
,DAULATPUR CHOWK,DLPC,EKTA NAGAR,EKNR ,HAPA,HAPA ,JETALSAR,JLR 
,DAUND,DD ,ETAWAH,ETW ,HAPUR,HPU ,JHAJHA,JAJ 
,DAURAI,DOZ,FARIDABAD,FDB ,HARDA,HD ,JHARGRAM,JGM
,DAVANGERE,DVG ,FARRUKHABAD,FBD ,HARIDWAR,HW ,JHARSUGUDA,JSG
,DEHRADUN,DDN ,FATEHABAD CHAND,FTD ,HARIHAR,HRR ,JIND,JIND 
,DEHRI-ON-SONE,DOS ,FATEHPUR,FTP ,HARMUTI,HMY ,JODHPUR,JU 
,DELHI,DLI ,FATUHA,FUT ,HARPALPUR,HPP ,JOGBANI,JBN 
,DEKARGAON,DKGN ,FAZILKA,FKA ,HASIMARA,HSA ,JOLARPETTAI,JTJ 
,DELHI CANTT.,DEC ,FALNA,FA ,HASSAN,HAS ,JORHAT TOWN,JTTN 
,DELHI SAFDARJUNG,DSJ ,FIROZABAD,FZD ,HATIA,HTE ,JUNAGARH JN.,JND 
,DELHI SARAI ROHILLA,DEE ,FIROZPUR CITY,FZP ,HAZUR SAHIB NANDED,NED ,KACHEGUDA,KCG
,DELHI SHAHDARA,DSA ,FIROZPUR CANTT.,FZR ,HILSA,MIL ,KAKINADA PORT,COA 
,DEGANA,DNA ,FORBESGANJ,FBG ,HIMMAT NAGAR,HMT ,KALCHINI,KCF 
,DEOGHAR,DGHR,FURKATING,FKG ,HINDUPUR,HUP ,KALKA,KLK 
,DEORIASADAR,DECS ,GADAG,GDG ,HINGOLI,HNL ,KALOL,KLL 
,DEVLALI,DVL ,GAJRAULA,GJL,HISAR,HSR ,KALYAN,KYN 
,DHAMANGAON,DMN ,GANDHIDHAM,GIM ,H. NIZAMUDDIN,NZM ,KAMAKHYA,KYQ 
,DHANBAD,DHN ,GANDHINAGAR,GADJ ,HORTOKI,HRTK,KANCHIPURAM,CJ 
,DHARASHIV,DRSV,GANDHI NAGAR CAPITAL,GNC ,HOSHANGABAD,HBD ,KANDHLA,KQL
,DHARMABAD,DAB ,GANGAPUR CITY,GGC ,HOSIAR PUR,HSX,KAWNPAI,KWNI
,DHARMANAGAR,DMR ,GARWAROAD,GHD ,HOSAPETE,HPT,KANNIYAKUMARI,CAPE 
,DHARMAPURI,DPJ ,GAYA,GAYA,HOSUR,HSRA ,KANNUR,CAN 
,DHARMAVARAM,DMM ,GEVRA ROAD,GAD ,HOWBADH,HBG ,KANPUR CENTRAL,CNB
,DHARWAD,DWR ,GHATSILA,GTS ,HOWRAH,HWH,KANPUR ANWARGANJ,CPA 
,DHASA,DAS ,GHAZIABAD,GZB ,HUBBALLI,UBL ,KAPTANGANJ,CPJ 
,DHAULPUR,DHO ,GOMTINAGAR,GTNR,HYDERABAD,HYB ,KARAIKAL,KIK 
,DHENUANAL,DNUL ,GOALPARA TOWN,GLPT ,IDGAH AGRA,IDH,KARAIKKUDI JN.,KKDI
,DHOLA,DLJ ,GODDA,GODA,IGATPURI,IGP ,KARIMGANJ,KXJ 
,DHONE,DHNE ,GODHRA,GDA ,INDARA,IAA ,KARNAL,KUN 
,DHRANGADHRA,DHG ,GOLA GOKARANNATH,GK ,INDORE,INDB,KARUR,KRR 
,DHUBRI,DBB ,GONDA,GD ,ISLAMPUR,IPR,KARWAR,KAWR 
,DHURI,DUI ,GONDIA,G ,ITARSI,ET ,KASARAGOD,KGQ 
,DHULE,DHI,GOOTY,GY ,JABALPUR,JBP ,KASGANJ,KSJ 
,DIBRUGARH,DBRG ,GORAKHPUR,GKP ,JAGDALPUR,JOB ,KATHGODAM,KGM 
,DIBRUGARH TOWN,DBRT ,GOSSAINGAON HAT,GOGH ,JAIPUR,JP ,KATIHAR,KIR 
,DIGHA,DGHA ,GOVINDPURI,GOY,JEYPORE,JYP ,KATNI,KTE 
,DILDARNAGAR,DLN ,GUDIVADA,GDV ,JAISALMER,JSM ,KATNI SOUTH,KTES 
,DIMAPUR,DMV ,GUDUR,GDR ,JAJPUR KEONJHAR ROAD,JJKR ,KATNI MURWARA,KMZ 
,DINDIGUL JN.,DG ,GUNA,GUNA ,JAKHAL,JHL ,KATPADI,KPD 
,DONGARGARH,DGG ,GUNTAKAL,GTL ,JALAMB,JM ,KATWA,KWAE 
,DORNAKAL,DKJ ,GUNTUR,GNT ,JALANDHAR CANTT.,JRC ,KALABURAGI,KLBG 
,DR AMBEDKAR NAGAR,DADN ,GURGAON,GGN ,JALANDHAR CITY,JUC ,KAZIPET,KZJ 
TAG-26,DUMKA,DUMK,GURUVAYUR,GUV ,JALGAON,JL ,KESINGA,KSNG 
,DUNGARPUR,DNRP ,GUWAHATI,GHY ,JALNA,J ,KENDUJHARGARH,KDJR 
,,,,6,,,,
Station Name,Code,Station Name,Code,Station Name,Code,Station Name,Code,
KHAJURAHO,KURJ ,MADARIHAT,MDT ,MURI,MURI ,NIHALGARH,NHH,
KHAGARIA,KGG ,MADAR JN.,MDJN ,MURKEONG SELEK,MZS ,NIMACH,NMH ,
KHALILABAD,KLD ,MADANMAHAL,MML,MURTAJAPUR,MZR ,NIRMALI,NMA,
KHAMMAM,KMT ,MADDUR,MAD ,MUZAFFAR NAGAR,MOZ ,NIZAMABAD,NZB,
KHANDWA,KNW ,MADGAON (GOA),MAO ,MUZAFFARPUR,MFP ,NOLI,NOLI ,
KHARAGPUR,KGP ,MADMUBANI,MBI ,MYSURU,MYS ,NORTH LAKHIMPUR,NLP ,
KHEKRA,KEX ,MADHUPUR,MDP ,NABADWIP DHAM,NDAE ,ODLABARI,ODB ,
KHONGSANG,KGBP,MADURAI JN.,MDU ,NADIAD,ND ,OKHA,OKHA ,
KHURDA ROAD,KUR ,MAHASAMUND,MSMD ,NADIKUDI,NDKD ,ONGOLE,OGL ,
KHURJA,KRJ ,MAHBUBNAGAR,MBNR ,NAHARLAGUN,NHLN ,ORAI,ORAI ,
KISHANGANJ,KNE ,MAHUVA,MHV ,NAGAPPATTINAM,NGT ,PACHORA,PC ,
KIRANDUL,KDLR ,MUNIGUDA,MNGD ,NAGRAKATA,NKB ,PALANI,PLNI ,
KISHANGARH,KSG,MAHESANA,MSM ,NAGARSOL,NSL ,PALANPUR,PNU ,
KIUL,KIUL,MAHOBA,MBA ,NAGBHIR,NAB,PALASA,PSA ,
KODAIKANAL ROAD,KQN ,MAILANI,MLN ,NAGDA,NAD,PALAKKAD,PGT ,
KOLKATA,KOAA ,MAKRANA,MKN ,NAGERCOIL JN.,NCJ ,PALAKKAD TOWN,PGTN ,
KOLLAM,QLN ,MAKSI,MKC ,NAGORE,NCR ,PALDHI,PLD ,
KOPERGAON,KPG ,MALDA TOWN,MLDT ,NAGPUR,NGP ,PALIAKALAN,PLK ,
