Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
01025/01026,Dadar,Ballia,TOD Exp,"6,6A,63,63A",11049/11050,Rajkot,Chhatrapati Shahu,Exp,"19,31",
01027/01028,Dadar,Gorakhpur,TOD Exp,"35,63,63A",,,Maharaj (T),,,
01139/01140,Nagpur,Madgaon,TOD Exp,"26,44",11055/11056,Lokmanya Tilak (T),Gorakhpur,Godaan,"6,63",
01665/01666,Rani Kamalapati,Agartala,TOD Exp,"18,24,24A,83",11057/11058,Chhatrapati Shivaji,Amritsar,Exp,"2,4,15",
02131/02132,Pune,Jabalpur,TOD Exp,6,,Maharaj (T),,,,
02133/02134,Bandra (T),Jabalpur,TOD Exp,"3,6,43",11059/11060,Lokmanya Tilak (T),Chhapra,Godaan,"6,22,63",
02197/02198,Coimbatore,Jabalpur,TOD Exp,"17,26,26-1,86",11061/11062,Lokmanya Tilak (T),Jaynagar,Exp,"6,22",
04115/04116,Subedarganj,Lokmanya ,TOD Exp,"35,57",11071/11072,Lokmanya Tilak (T),Ballia,Kamayani,6,
,,Tilak (T),,,11077/11078,Pune,Jammu Tawi,Jhelum,"4,16",
04711/04712,Bikaner,Bandra (T),TOD Exp,"3,59",11079/11080,Lokmanya Tilak (T),Gorakhpur,Exp,"35,38",
04717/04718,Hisar,Tirupati,TOD Exp,"8,43,46,77",11081/11082,Lokmanya Tilak (T),Gorakhpur,Exp,"6,63",
05053/05054,Gorakhpur,Bandra (T),TOD Exp,"3,82",11085/11086,SMVB,Gwalior,Exp,"4,4A,9",
05057/05058,Gorakhpur,Delhi,TOD Exp,22,11087/11088,Veraval,Pune,Exp,"31,76",
05074/05073,Lalkuan,KSR Bengaluru,TOD Exp,"17,17A,55",11089/11090,Bhagat ki kothi,Pune,Exp,"23,31",
07020/07019,Hyderabad,Jaipur,TOD Exp,"9,43,53,54",11091/11092,Bhuj,Pune,Exp,31,
07029/07030,Agartala,Secunderabad,TOD Exp,"29,83",11097/11098,Pune,Ernakulam Jn,Poorna,"19,26",
07053/07054,Kacheguda,Bikaner,TOD Exp,"9,23,53",11099/11100,Lokmanya Tilak (T),Madgaon,Double Decker,26,
07363/07364,SSS Hubballi,Yog Nagri Rishikesh,TOD Exp,"9,9A,75",11107/11008,Gwalior,Banaras,Bundelkhand Exp,47,
09419/09420,Ahmedabad,Tiruchchirappalli,TOD Exp,"3,10,21,70",11109/11110,Virangana,Lucknow,lntercity,35,
09525/09526,Hapa,Naharlagun,TOD Exp,"11,13, 33,",,Lakshmibai Jhansi,,,,
,,,,"33A, 62",11113/11114,Devlali,Bhusaval,Exp,5,
09653/09654,Ajmer,Bandra (T),TOD Exp,"3,54",11115/11116,Bhusaval,Itarsi,Exp,4,
09723/09724,Jaipur,Bandra (T),TOD Exp,"3,54",11119/11120,Igatpuri,Bhusaval,Exp,5,
10103/10104,Chhatrapati Shivaji,Madgaon,Mandovi Exp,26,,,,,,
,,,,,11121/11122,Bhusaval,Wardha,Exp,34,
,Maharaj (T),,,,,,,,,
10105/10106,Diva,Sawantwadi Road,Exp,26,11123/11124,Barauni,Gwalior,Mail,33,
10107/10108,Madgaon,Mangaluru Central,Memu,26,11125/11126,Ratlam,Gwalior,Exp,33,
10115/10116,Bandra (T),Madgaon,Exp.,26,11139/11140,Chhatrapati Shivaji,Hosepet,Exp,19,
,,,,,,Maharaj (T),,,,
10215/10216,Madgaon,Ernakulam Jn,Exp.,26,,,,,,
,,,,,11201/11202,Nagpur,Shahdol,Exp,58,
11001/11002,Chhatrapati Shivaji,Balharshah,Nandigram Exp,53,,,,,,
,Maharaj (T),,,,11265/11266,Jabalpur,Ambikapur,Exp,"43,81",
11003/11004,Dadar,Sawantwadi Road,Tutari Exp,26,11271/11272,Itarsi,Bhopal,Vindhyachal Exp,72,
11005/11006,Dadar,Puducherry,Chalukya Exp,"19,20,21",11273/11274,Itarsi,Prayagraj Chheoki,Exp,24,
11007/11008,Chhatrapati Shivaji,Pune,Deccan Exp,19,11301/11302,Chhatrapati Shivaji,KSR Bengaluru,Udyan,10,
,Maharaj (T),,,,,Maharaj (T),,,,
11009/11010,Chhatrapati Shivaji,Pune,Sinhagad Exp,19,11305/11306,Solapur,Hosepet,Exp,19,
,Maharaj (T),,,,11311/11312,Solapur,Hassan,Exp,"10,19",
11011/11012,Mumbai CSMT,Dhule,Exp,2,11403/11404,Nagpur,Chhatrapati Shahu,Exp,44,
11013/11014,Lokmanya Tilak (T),Coimbatore,Exp,"10,86",,,Maharaj (T),,,
11015/11016,Lokmanya Tilak (T),Saharsa,Amrit Bharat,"24,24A",11405/11406,Pune,Amravati,Exp,44,
11017/11018,Lokmanya Tilak (T),Karaikkal,Exp,"10,21",11407/11408,Pune,Lucknow Jn.,Exp,"35,44",
11019/11020,Chhatrapati Shivaji,Bhubaneswar New,Konark Exp,"10,30",11409/11410,Daund,Nizamabad,Exp,53,
,Maharaj (T),,,,11411/11412,Parli Vaijnath,Sangli,Exp,44,
11021/11022,Dadar,Tirunelveli,Chalukya Exp,"19,69",11413/11414,Nizamabad,Pandharpur,Exp,53,
11025/11026,Amravati,Pune,Exp,91,11421/11422,Hadapsar,Solapur,Exp,10,
11027/11028,Dadar,Satara,Exp,10,11425/11426,Pune,Chhatrapati Shahu,Exp,19,
,,,,,,,Maharaj (T),,,
11029/11030,Chhatrapati Shivaji,Chhatrapati Shahu,Koyna Exp,19,,,,,,
,Maharaj (T),Maharaj (T),,,11427/11428,Pune,Jasidih,Exp,"1,24",
11033/11034,Pune,Darbhanga,Exp,"6,22,44",11447/11448,Jabalpur,Howrah,Shaktipunj Exp,73,
11035/11036,Dadar,Mysuru,Sharavati Exp,19,11449/11450,Jabalpur,Shri Mata Vaishno,Exp,"16,56",
,,,,,,,Devi Katra,,,
11037/11038,Pune,Barhni,Exp,"6,63",,,,,,
,,,,,11463/11464,Somnath,Jabalpur (via ltarsi),Exp,"33,34,43,76",
11039/11040,Chhatrapati Shahu,Gondia,Maharashtra Exp,44,,,,,,
,Maharaj (T),,,,11465/11466,Somnath,Jabalpur (via Bina),Exp,"33,34,43,76",
11041/11042,Dadar,Sainagar Shirdi,Exp,53,11601/11602,Bina,Katni Murwara,Exp,43,
11045/11046,Chhatrapati Shahu,Dhanbad,Deekshabhoomi,"17,44,53",11603/11604,Kota,Bina,Exp,72,
,Maharaj (T),,Exp,,11605/11606,Bhopal,Bina,Exp,2,TAG-26
,,,,,11651/11652,Jabalpur,Singrauli,Intercity,73,
,,,,,9,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table
No.,station,station,Name,No.,No.,station,station,Name,No.
11701/11702,Raipur,Jabalpur,Intercity,58,12079/12080,KSR Bengaluru,SSS Hubballi,Jan Shatabdi,19
11703/11704,Rewa,Dr. Ambedkar Nagar,Exp,43,12081/12082,Kannur,Thiruvanthapuram,Jan Shatabdi,85
11705/11706,Jabalpur,Rewa,Exp,"43,43A",12083/12084,Mayiladuturai,Coimbatore,Jan Shatabdi,69
11751/11752,Rewa,Chirmiri,Exp,81,12087/12088,Naharlagun,Guwahati,Shatabdi,62
11753/11754,Rewa,NSCB Itwari,Exp,58,12089/12090,KSR Bengaluru,Shivmogga Town,Jan Shatabdi,19
11755/11756,Rewa,NSCB Itwari,Exp,58,12091/12092,Kathgodam,Dehradun,Jan Shatabdi,"13,55"
11801/11802,Gwalior,Prayagraj,Exp,47,12097/12098,Agartala,Khongsang,Jan Shatabdi,83
11807/11808,Virangana,Agra Cantt.,Exp,8,12101/12102,Lokmanya Tilak (T),Shalimar,Exp,5
,Lakshmibai Jhansi,,,,12103/12104,Pune,Lucknow,Exp,"35,44"
11841/11842,Khajuraho,Kurukshetra,Geeta Jayanti,"2,16,56",12105/12106,Chhatrapati Shivaji,Gondia,Vidarbha,5
11901/11902,Virangana,Agra Cantt.,Exp,8,,Maharaj (T),,,
,Lakshmibai Jhansi,,,,12107/12108,Sitapur,Lokmanya Tilak (T),Exp,35
11903/11904,Virangana,Etawah,Exp,33,12109/12110,Chhatrapati Shivaji,Manmad Jn,Panchavati,53
,Lakshmibai Jhansi,,,,,Maharaj (T),,,
11905/11906,Agra Cantt,Hoshiarpur,Exp,"2,16",12111/12112,Chhatrapati Shivaji,Amravati,Exp,5
12001/12002,Rani Kamalapati,New Delhi,Shatabdi,2,,Maharaj (T),,,
12003/12004,Lucknow,New Delhi,Swarna Shatabdi,25,12113/12114,Pune,Nagpur,Garib Rath,44
12005/12006,New Delhi,Kalka,Shatabdi,27,12115/12116,Chhatrapati Shivaji,Solapur,Siddheshwar,10
12007/12008,MGR Chennai,Mysuru,Shatabdi,20,,Maharaj (T),,,
,Central,,,,12119/12120,Amravati,Ajni (Nagpur),Intercity,5
12009/12010,Mumbai Central,Ahmedabad,Shatabdi,11,12121/12122,Jabalpur,H. Nizamuddin,M.P. Sampark,56
12011/12012,New Delhi,Kalka,Shatabdi,27,,,,Kranti,
12013/12014,New Delhi,Amritsar,Shatabdi,15,12123/12124,Chhatrapati Shivaji,Pune,Deccan Queen,19
12015/12016,New Delhi,Ajmer,Shatabdi,23,,Maharaj (T),,,
12017/12018,New Delhi,Dehradun,Shatabdi,75,12125/12126,Chhatrapati Shivaji,Pune,Pragati,"19,91"
,,,,,,Maharaj (T),,,
12019/12020,Howrah,Ranchi,Shatabdi,73,,,,,
,,,,,12127/12128,Chhatrapati Shivaji,Pune,Intercity,19
12021/12022,Howrah,BarbiI,Jan Shatabdi,87,,,,,
,,,,,,Maharaj (T),,,
12023/12024,Howrah,Patna,Jan Shatabdi,1,,,,,
,,,,,12129/12130,Pune,Howrah,Azad Hind,"5,44"
12025/12026,Pune,Secunderabad,Shatabdi,10,,,,,
,,,,,12131/12132,Dadar,Sai Nagar Shirdi,Exp,53
12027/12028,MGR Chennai ,KSR Bengaluru,Shatabdi,20,,,,,
,,,,,12133/12134,Chhatrapati Shivaji,Mangaluru Jn.,Exp,26
,Central,,,,,,,,
,,,,,,Maharaj (T),,,
12029/12030,New Delhi,Amritsar,Swarna Shatabdi,15,,,,,
,,,,,12135/12136,Pune,Nagpur,Exp,44
12031/12032,New Delhi,Amritsar,Shatabdi,15,,,,,
,,,,,12137/12138,Chhatrapati Shivaji,Firozpur Cantt.,Puniab Mail,"2,4,39"
12033/12034,Kanpur Central,New Delhi,Shatabdi,1,,Maharaj (T),,,
12035/12036,Tankpur,Delhi,Purnagiri ,55,12139/12140,Chhatrapati Shivaji,Nagpur,Sewagram,5
,,,Jan Shatabdi,,,Maharaj (T),,,
12037/12038,Delhi,Kotdwar,Siddhabali ,75,12141/12142,Lokmanya Tilak (T),Patliputra,Exp,24
,,,Jan Shatabdi,,12143/12144,Lokmanya Tilak (T),Sultanpur,Exp,35
12039/12040,New Delhi,Kathgodam,Shatabdi,55,12145/12146,Lokmanya Tilak (T),Puri,Exp,"5,78"
12041/12042,Howrah,New Jalpaiguri,Shatabdi,14,12147/12148,Chhatrapati Shahu,H. Nizamuddin,Exp,"9,19"
12045/12046,New Delhi,Chandigarh,Shatabdi,27,,Maharaj (T),,,
12047/12048,Guwahati,North Lakhimpur,Jan Shatabdi,62,11401/11402,Pune,Supaul,Exp,"24,44"
12049/12050,H. Nizamuddin,Virangana Lakshmibai,Gatiman,2,12151/12152,Lokmanya Tilak (T),Shalimar,Samarsata,"5,87"
,,Jhansi,,,12153/12154,Lokmanya Tilak (T),Rani Kamalapati,Exp,2
12051/12052,Chhatrapati Shivaji,Madgaon,Jan Shatabdi,26,12155/12156,Rani Kamalapati,H. Nizamuddin,Bhopal,2
,Maharaj (T),,,,12157/12158,Pune,Solapur,Hutatma,10
12053/12054,Haridwar,Amritsar,Jan Shatabdi,12,12159/12160,Amravati,Jabalpur,Exp,"5,17"
12055/12056,New Delhi,Dehradun,Jan Shatabdi,75,12161/12162,Lokmanya Tilak (T),Agra Cantt.,Lashkar,2
12057/12058,New Delhi,Daulatpur Chowk,Jan Shatabdi,27,12163/12164,Lokmanya Tilak (T),Chennai Central,Exp,10
12059/12060,Kota,H. Nizamuddin,Jan Shatabdi,3,12165/12166,Lokmanya Tilak (T),Gorakhpur,Exp,"6,63"
12061/12062,Rani Kamalapati,Madan Mahal,Jan Shatabdi,43,12167/12168,Lokmanya Tilak (T),Banaras,Exp,6
12065/12066,Ajmer,Delhi Sarai Rohilla,Jan Shatabdi,23,12169/12170,Pune,Solapur,Intercity,10
12067/12068,Guwahati,Jorhat Town,Jan Shatabdi,66,12171/12172,Lokmanya Tilak (T),Haridwar,AC,"2,75"
12069/12070,Raigarh,Gondia,Jan Shatabdi,5,12173/12174,Lokmanya Tilak (T),Maa Belha Devi Dham,Udyog Nagari,35
12071/12072,Chhatrapati Shivaji,Hingoli,Jan Shatabdi,53,,,Pratapgarh,,
,Maharaj (T),,,,12175/12176,Howrah,Gwalior,Chambal,65
12073/12074,Howrah,Bhubaneswar,Jan Shatabdi,7,12177/12178,Howrah,Mathura,Chambal,65
