Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
AC Double Decker Exp.,12583/12584,Lucknow Jn.,Anand Vihar (T),25,Ajmer Exp,18009/8010,Santragachi,Ajmer,"34,41,72",
AC Double Decker Exp.,12931/12932,Mumbai Central,Ahmedabad,11,Ajmer Exp,18207/18208,Durg,Ajmer,"81,72",
AC Double Decker Exp.,12985/12986,Delhi Sarai Rohilla,Jaipur,23,Ajmer Exp,18213/18214,Durg,Ajmer,"72,81",
AC Double Decker Exp.,22625/22626,MGR Chennai,KSR Bengaluru,20,Ajmer Exp,20823/20824,Puri,Ajmer,"23,34,78",
,,Central,,,Ajmer Exp,19611/19612,Amritsar,Ajmer,80,
AC Double Decker Exp.,22707/22708,Visakhapatnam,Tirupati,7,Ajmer Exp,19613/19614,Amritsar,Ajmer,80,
AC Exp,12429/12430,Lucknow,New Delhi,25,Ajmer Exp,12995/12996,Bandra (T),Ajmer,23,
AC Exp,12519/12520,Lokmanya Tilak (T),Agartala,"18,24",Akal Takht Exp,12317/12318,Kolkata,Amritsar,12,
AC Exp,12551/12552,Kamakhya,SMVT Bengaluru,"29,20,87",Akola Exp,17639/17640,Kacheguda,Akola,"53,53A",
AC Exp,12773/12774,Shalimar,Secunderabad,30,Ala Hazrat Exp,14311/14312,Bareilly,Bhuj,"11,23,55",
AC Exp,12775/12776,Lingampalli,Kakinada Town,30,Ala Hazrat Exp,14321/14322,Bareilly,Bhuj,"11,23,55",
AC Exp,12783/12784,Visakhapatnam,Secunderabad,30,Alapuzha Exp,13351/13352,Dhanbad,Alapuzha,"40,86",
AC Exp,12857/12858,Howrah,Digha,87,Alappuzha Exp,16307/16308,Kannur,Alappuzha,"85,85A",
AC Exp,14805/14806,Yesvantpur,Barmer,"19,23,31",Alappuzha Exp,22639/22640,MGR Chennai,Alappuzha,86,
AC Exp,16561/16562,Yesvantpur,Thiruvanthapuram,86,,,Central,,,
,,,North,,Amarkantak Exp,12853/12854,Durg,Bhopal,43,
AC Exp,22117/22118,Pune,Amravati,44,Amarnath Exp,12587/12588,Gorakhpur,Jammu Tawi,13,
AC Exp,22121/22122,Lokmanya Tilak (T),Lucknow,35,Amarnath Exp,15653/15654,Guwahati,Jammu Tawi,"13,64",
AC Exp,22123/22124,Aini,Pune,5,Ambikapur Exp.,18241/18242,Durg,Ambikapur,81,
AC Exp,22207/22208,MGR Chennai,Thiruvananthapuram,86,Ambikapur Exp.,18755/18756,Shahdol,Ambikapur,81,
,,Central,Central,,Ambikapur Exp,11265/11266,Jabalpur,Ambikapur,"43,81",
AC Exp,22401/22402,Delhi Sarai Rohilla,Martyr Captain,16,Ambikapur SF Exp.,22407/22408,Ambikapur,Nizamuddin,32,
,,,Tushar Mahajan,,Amrapur Aravali Exp.,14701/14702,Bandra (T),Sri Ganganagar,"11,23,77",
AC Exp,22475/22476,Hisar,Coimbatore,"59,23,26",Amravathi Exp,17225/17226,Narsapur,SSS Hubballi,49,
AC Exp,22807/22808,Santragachi,MGR Chennai,7,Amravathi Exp,18047/18048,Shalimar,Vasco-de-Gama,"7,49",
,,,Central,,Amravati Exp,12111/12112,Chhatrapati Shivaji,Amravati,"5,5A",
AC Exp,22863/22864,Howrah,SMVT Bengaluru,29,,,Maharaj (T),,,
AC Exp,22903/22904,Bandra (T),Bhuj,11,Amravati Exp,12159/12160,Jabalpur,Amravati,"17,5",
AC Exp,22115/22116,Lokmanya Tilak (T),KarmaIi,26,Amravati Exp,12765/12766,Tirupati,Amravati,"52,53,53A",
AC Exp,22125/22126,Nagpur,Amritsar,"8,15",Amravati Exp,11405/11406,Pune,Amravati,44,
AC Exp,12171/12172,Lokmanya Tilak (T),Haridwar,"2,75",,,,,,
,,,,,Amrit Bharat Exp,11015/11016,Lokmanya Tilak(T),Saharsa,"24,24A",
Adilabad Exp,17409/17410,Hazur Sahib Nanded,Adilabad,53,,,,,,
,,,,,Amrit Bharat Exp,13433/13434,Malda Town,SMVT Bengaluru,"29, 29A",
Agartala Exp,15625/15626,Deoghar,Agartala,"18,83",,,,,,
,,,,,Amrit Bharat Exp,13435/13436,Malda Town,Gomtinagar,"18,22,67",
Ahilyanagari Exp,22645/22646,Indore,Thiruvanthapuram,"8,86",,,,,,
,,,North,,Amrit Bharat Exp,13697/13698,Gaya,Delhi,"1,1A, 9",
Ahimsa Exp,22185/22186,Ahmedabad,Pune,"31,31A",Amrit Bharat Exp,14047/14048,Delhi,Sitamarhi,"22,22A",
Ahmedabad Exp,11049/11050,Chhatrapati Shahu,Ahmedabad,"19,19A,31,31A",Amrit Bharat Exp,14627/14628,Chheharta,Saharsa,"12,22,64,90",
,,Maharaj (T),,,Amrit Bharat Exp,15133/15134,Anand Vihar (T),Chapra,"22,22A",
Ahmedabad Exp,12833/12834,Howrah,Ahmedabad,"34,34A",Amrit Bharat Exp,15293/15294,Muzaffarpur,Cherapalli,"17,17A,64",
Ahmedabad Exp,12843/12844,Puri,Ahmedabad,"34A,46",Amrit Bharat Exp,15557/15558,Darbhanga,Anand Vihar (T),22,
Ahmedabad Exp,22689/22690,Yesvantpur,Ahmedabad,31A,Amrit Bharat Exp,15561/15562,Darbhanga,Gomtinagar,"22,64",
Ahmedabad Exp,20861/20862,Puri,Ahmedabad,"34,34A,46,78",Amrit Bharat Exp,15567/15568,Bapudham Motihari,Anand Vihar,"22, 64",
Ahmedabad Exp,19035/19036,Vadodara,Vatva,11,Amrit Bharat Exp,19623/19624,Madar Jn,Darbhanga,"22,22A,23,23A,33",
Ahmedabad Exp,19223/19224,Jammu Tawi,Sabarmati,"23,45",Amritha Exp,16343/16344,Thiruvananthapuram,Rameswaram,86,
Ahmedabad Exp,19401/19402,Lucknow,Sabarmati,23,Amrit Bharat Exp,16601/16602,Erode,Jogbani,"17,86,90",
Ahmedabad Exp,20939/20940,Sultanpur,Sabarmati,"23,25A",Amrit Bharat Exp,19021/19022,Udhna,Brahmapur,34,
Ahmedabad Exp,19409/19410,Gorakhpur,Sabarmati,"79,23,82",Amrit Bharat Exp,22361/22362,Rajender Nagar,New Delhi,"1,1A",
Ahmedabad Exp,19413/19414,Kolkata,Ahmedabad,"3,23,43,43A,73A,54A",Amritsar Exp,11057/11058,Chhatrapati Shivaji,Amritsar,"2,2A,4,15",
Ahmedabad Exp,19415/19416,Shri Mata Vaishno,Sabarmati,"23,23A,80",,,Maharaj (T),,,
,,Devi Katra,,,Amritsar Exp,12421/12422,Hazur Sahib,Amritsar,"9,15,39,53",
Ahmedabad Exp,20919/20920,MGR Chennai,Ekta Nagar,"3,10",,,Nanded,,,
,,Central,,,Amritsar Exp,12483/12484,Thiruvanthapuram,Amritsar,"3,3A,26,26A,15",
Ahmedabad Exp,19421/19422,Patna,Ahmedabad,"3,32",,,North,,,
Ahmedabad Exp,19943,Udaipur City,Ahmedabad,77,Amritsar Exp,14505/14506,Nangal Dam,Amritsar,15,
Ahmedabad Exp,22967/22968,Ahmedabad,Prayagraj,"24,46",Amritsar Exp,14615/14616,Lalkuan,Amritsar,"12,55",
Aianta Exp,17063/17064,Manmad,kacheguda,53,Amrapalli Exp,15707/15708,Katihar,Amritsar,"15,22",
Ajmer Exp,18213/18214,Durg,Ajmer,"72,81",Amritsar Exp,15933/15934,New Tinsukia,Amritsar,"13,66,66A",
Ajmer Exp,12987/12988,Sealdah,Ajmer,"23,65",Amritsar Exp,19325/19326,Indore,Amritsar,4,
Ajmer Exp,12989/12990,Dadar,Ajmer,"11,23,23A",Amritsar Exp,19611,Ajmer,Amritsar,80,
Ajmer Exp,15237/15238,Darbhanga,Ajmer,"13,79,64",Amritsar Exp,19613,Ajmer,Amritsar,"12,82",
Ajmer Exp,15715/15716,Kishanganj,Ajmer,"18,18A,23,25,25A",Amritsar Exp,22445/22446,Kanpur Central,Amritsar,12,
Ajmer Exp,16209/16210,Mysuru,Ajmer,"11,19,19A,23,23A",Amritsar Mail,13005/13006,Howrah,Amritsar,12,TAG-26
,,,,,27,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Anand Vihar T Exp,12443/12444,Haldia,Anand Vihar T,"1,87",Azad Hind Exp,12129/12130,Pune,Howrah,"5,44"
,Anand Vihar T Exp,22857/22858,Santragachi,Anand Vihar T,32,Azamgarh Exp,13137/13138,Kolkata,Azamgarh,37A
,Anand Vihar T Exp,13429/13430,Malda Town,Anand Vihar T,"18,18A,93,67,25A",Azimabad Exp,12947/12948,Ahmedabad,Rajgir,"1,3"
,Anand Vihar T Exp.,14151/14152,Kanpur Central,Anand Vihar T,"25,25A",Badampahar Exp,18049/18050,Badampahar,Shalimar,5
,Anand Vihar T Exp.,15025/15026,Mau,Anand Vihar T,"25,25A",Bagh Exp,13019/13020,Howrah,Kathgodam,"22,37"
,Anand Vihar T Exp.,15057/15058,Gorakhpur,Anand Vihar T,22,Bagmati Exp,12577/12578,Darbhanga,Mysuru,"17,20,90"
,Anand Vihar T Exp.,15621/15622,Kamakhya,Anand Vihar T,"13A,18A,74A",Baidyanathdham Exp.,18449/18450,Puri,Patna,32
,Anand Vihar T Exp.,22433/22434,Ghazipur City,Anand Vihar T,22,Baijnath Paprola Passr.,52465/52466,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,22409/22410,Gaya,Anand Vihar T,1A,Baijnath Paprola Passr.,52463,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,22805/22806,Bhubaneswar,Anand Vihar T,"41A,78A",Baijnath Paprola Passr.,52467/52468,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,18427/18428,Anand Vihar T,Puri,32,Baijnath Paprola Passr.,52469/52470,Pathankot,Baijnath Paprola,96
,Anandpur Sahib Exp.,12325/12326,Nangal Dam,Kolkata,12,Baiyyappanahalli Exp,18111/18112,Tata Nagar,Yesvantpur,"40,71A"
,Ananthapuri Exp,20635/20636,Chennai Egmore,Kollam,21,Ballia Exp,13105/13106,Sealdah,Ballia,37A
,Ananya Exp,12315/12316,Kolkata,Udaipur City,"23,54,65",Ballia New Delhi SF,22581/22582,Ballia,New Delhi,25
,Andaman Exp,16031/16032,MGR Chennai,Shri Mata Vaishno,"8,16",Balurghat Exp,13063/13064,Howrah,Balurghat,14
,,,Central,Devi Katra,,Balurghat Exp,13189/13190,Sealdah,Balurghat,14
,Andhra Pradesh,20805/20806,New Delhi,Visakhapatnam,42,Balurghat Exp,13431/13432,Nabadwip Dham,Balurghat,14
,AC Exp.,,,,,Balurghat Exp,15463/15464,New Jalpaiguri,Balurghat,14A
,Andhra Pradesh,12707/12708,Tirupati,H. Nizamuddin,"9,71",Banaras Exp,12581/12582,New Delhi,Banaras,25A
,Sampark Kranti Exp.,,,,,Banaras Exp,15103/15104,Gorakhpur,Banaras,63
